stress,anxiety
20.1,11.4
11.4,5.5
19,8.8
20.4,11.1
15.8,4.5
9.1,3.7
7.7,4
2.3,10.8
19.4,11.7
6.5,4.2
5,1.5
12.3,6.2
11.9,3.9
12.2,5.1
18.2,7.5
8.9,0.6
3.9,0.4
13.2,4.7
13.2,17.1
7.3,2.1
21.4,10.3
11.9,5.1
15.5,11.4
9.5,4
17.8,10.9
13.3,3.7
13.7,5
8.7,2.1
11.4,6.7
2.5,4.3
11.4,5.1
12,3.9
16.2,8
5.3,0.1
17.4,0.7
15.5,4.5
9.9,5.3
13.6,5.5
3.5,6.4
13.3,9
5.8,8
17.7,7.7
8.8,5.3
14.2,5.3
5.9,7.4
8.9,7.9
5.9,3.9
7.8,7.8
5.5,1.5
16.1,9.6
13.2,2
18.9,5.5
5.4,4.9
6.9,8.7
14.4,5.7
16.2,5.9
16.3,0.6
29,11.8
2.8,6.8
19.1,10.6
31.6,16.5
24.6,15.6
14.8,4.5
13.5,7.3
4.3,4.6
9.8,3.9
11,8.9
6.9,7.8
20.1,14.5
15.2,11.8
17.8,0.1
16.7,6.6
11.4,15
9.5,4.2
11.9,9
32.7,13.3
15.8,2
8,3.9
11.3,6.9
3.9,7.5
12.2,4.4
8.1,7.1
13.8,7.4
14.8,11.7
10.9,5.2
14.1,9.2
30.2,11.4
38.2,22.4
19.4,7.6
20.4,11.1
15.8,3.4
8.2,5.6
33.4,25.4
22.3,20.8
19.4,11.7
