id,fear_pre,fear_post
1,5.1,10
2,6.3,7.1
3,2.3,9.3
4,3.3,8.9
5,8.3,7
6,3.6,9.1
7,5,9.2
8,0.8,8.7
9,2.5,4.1
10,3.4,4.5
11,9.9,9.2
12,7.2,9.8
13,2.4,4.9
14,2.1,2.1
15,4.6,4
16,3.5,2
17,2.3,8.6
18,4.3,9.1
19,5.6,9.5
20,4.1,9.4
21,3.9,8.5
22,3.2,3.9
23,6.7,6.9
24,3.3,4.2
25,8.9,1.1
26,1,5
27,0.2,5.6
28,8.9,5.2
29,9.1,3.1
30,1.5,5.7
31,0,1
32,6.3,5.2
33,0,1.3
34,6.4,4.3
35,2.9,8.1
36,7.8,8.2
37,5.6,7.4
38,5.4,6.5
39,0.4,10
40,7.2,5
41,2.1,1.7
42,7.2,5.9
43,1.3,10
44,6,4.4
45,2.8,10
46,7.6,7
47,4.5,5.8
48,2.3,5.9
49,3.6,10
50,3.2,5.4
